"Perioden";"Regio's";"Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/Jonger dan 5 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/5 tot 10 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/10 tot 15 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/15 tot 20 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/20 tot 25 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/25 tot 45 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/45 tot 65 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/65 tot 80 jaar (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Leeftijd/Leeftijdsgroepen, relatief/80 jaar of ouder (%)";"Bevolking/Bevolkingssamenstelling op 1 januari/Bevolkingsdichtheid (aantal inwoners per km²)";"Onderwijs/Naar woongemeente/Gediplomeerden/Voortgezet onderwijs (aantal)";"Onderwijs/Naar woongemeente/Gediplomeerden/Middelbaar beroepsonderwijs (aantal)";"Onderwijs/Naar woongemeente/Gediplomeerden/Hoger beroepsonderwijs bachelor (aantal)";"Onderwijs/Naar woongemeente/Gediplomeerden/Wo master/doctoraal (aantal)";"Inkomen en vermogen/Inkomen van particuliere huishoudens/Gemiddeld besteedbaar inkomen/Particuliere huishoudens excl. studenten (1 000 euro)";"Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Totale oppervlakte (km²)";"Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Land (km²)";"Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Water totaal (km²)";"Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Binnenwater (km²)";"Milieu en bodemgebruik/Bodemgebruik/Oppervlakte/Water/Buitenwater (km²)"
"2019";"Nederland";"17282163";"     5.0";"     5.3";"     5.5";"     6.1";"     6.2";"    24.6";"    28.0";"    14.6";"     4.6";"     513";"  191088";"  154637";"   67459";"   42635";"    46.8";"41543.38";"33671.09";" 7872.28";" 3719.65";" 4152.64"
"2020";"Nederland";"17407585";"     4.9";"     5.2";"     5.5";"     6.0";"     6.3";"    24.8";"    27.8";"    14.8";"     4.7";"     517";"  177672";"  157401";"   71355";"   47811";"    47.5";"41543.38";"33671.09";" 7872.28";" 3719.65";" 4152.64"
"2021";"Nederland";"17475415";"     4.9";"     5.1";"     5.5";"     5.9";"     6.3";"    24.9";"    27.6";"    15.0";"     4.8";"     519";"  167405";"  152039";"   66451";"   47868";"    49.5";"41543.38";"33671.09";" 7872.28";" 3719.65";" 4152.64"
"2022";"Nederland";"17590672";"     4.9";"     5.1";"     5.4";"     5.8";"     6.4";"    25.0";"    27.3";"    15.2";"     4.8";"     523";"";"";"";"";"    52.0";"41543.37";"33647.23";" 7896.14";" 3744.03";" 4152.11"
"2023";"Nederland";"17811291";"     4.9";"     5.0";"     5.4";"     5.7";"     6.6";"    25.3";"    26.9";"    15.3";"     4.9";"     529";"";"";"";"";"";"41543.37";"33647.23";" 7896.14";" 3744.03";" 4152.11"
"2019";"Aa en Hunze";"   25386";"     3.6";"     4.6";"     5.4";"     6.2";"     4.1";"    17.1";"    32.9";"    20.1";"     5.9";"      92";"     269";"     269";"      58";"       8";"    47.6";"  278.87";"  276.09";"    2.79";"    2.79";"    0.00"
"2020";"Aa en Hunze";"   25445";"     3.7";"     4.6";"     5.3";"     6.1";"     4.2";"    17.2";"    32.4";"    20.3";"     6.2";"      92";"     296";"     251";"      70";"       7";"    49.2";"  278.87";"  276.09";"    2.79";"    2.79";"    0.00"
"2021";"Aa en Hunze";"   25399";"     3.7";"     4.5";"     5.2";"     5.9";"     4.3";"    17.6";"    31.7";"    20.7";"     6.4";"      92";"     245";"     252";"      91";"      17";"    51.8";"  278.87";"  276.09";"    2.79";"    2.79";"    0.00"
"2022";"Aa en Hunze";"   25579";"     3.9";"     4.4";"     5.1";"     5.6";"     4.4";"    17.8";"    31.3";"    21.1";"     6.4";"      93";"";"";"";"";"    53.9";"  278.87";"  276.06";"    2.81";"    2.81";"    0.00"
"2023";"Aa en Hunze";"   25724";"     4.0";"     4.5";"     5.0";"     5.5";"     4.5";"    17.9";"    30.8";"    21.4";"     6.5";"      93";"";"";"";"";"";"  278.87";"  276.06";"    2.81";"    2.81";"    0.00"
"2019";"Aalburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020";"Aalburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2021";"Aalburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2022";"Aalburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"Aalburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2019";"Aalsmeer";"   31728";"     4.7";"     6.2";"     7.1";"     6.4";"     5.1";"    22.3";"    29.7";"    13.8";"     4.6";"    1577";"     411";"     237";"      86";"      37";"    58.1";"   32.29";"   20.12";"   12.17";"   12.17";"    0.00"
"2020";"Aalsmeer";"   31859";"     4.5";"     6.1";"     7.0";"     6.7";"     5.0";"    22.2";"    30.0";"    13.8";"     4.7";"    1584";"     400";"     235";"     116";"      38";"    58.9";"   32.29";"   20.12";"   12.17";"   12.17";"    0.00"
"2021";"Aalsmeer";"   31991";"     4.4";"     5.8";"     6.8";"     6.8";"     5.2";"    22.1";"    30.1";"    13.8";"     4.9";"    1590";"     405";"     227";"      87";"      30";"    61.4";"   32.29";"   20.12";"   12.17";"   12.17";"    0.00"
"2022";"Aalsmeer";"   32452";"     4.5";"     5.6";"     6.7";"     6.8";"     5.6";"    22.2";"    29.9";"    13.8";"     5.1";"    1615";"";"";"";"";"    62.7";"   32.29";"   20.10";"   12.19";"   12.19";"    0.00"
"2023";"Aalsmeer";"   33063";"     4.4";"     5.2";"     6.5";"     6.8";"     6.0";"    22.4";"    29.7";"    13.6";"     5.3";"    1645";"";"";"";"";"";"   32.29";"   20.10";"   12.19";"   12.19";"    0.00"
"2019";"Aalten";"   27011";"     4.4";"     5.2";"     6.2";"     6.2";"     5.0";"    20.0";"    30.8";"    16.7";"     5.4";"     280";"     334";"     269";"      96";"      10";"    45.4";"   97.05";"   96.54";"    0.52";"    0.52";"    0.00"
"2020";"Aalten";"   27121";"     4.4";"     5.0";"     6.1";"     6.2";"     5.0";"    20.1";"    30.6";"    17.1";"     5.4";"     281";"     306";"     303";"      92";"      15";"    46.3";"   97.05";"   96.54";"    0.52";"    0.52";"    0.00"
"2021";"Aalten";"   27120";"     4.5";"     4.9";"     6.1";"     6.0";"     5.1";"    20.2";"    30.4";"    17.4";"     5.5";"     281";"     291";"     284";"      90";"      11";"    48.0";"   97.05";"   96.54";"    0.52";"    0.52";"    0.00"
"2022";"Aalten";"   27100";"     4.5";"     4.9";"     5.8";"     6.0";"     5.2";"    19.9";"    30.2";"    17.8";"     5.6";"     281";"";"";"";"";"    50.5";"   97.05";"   96.53";"    0.52";"    0.52";"    0.00"
"2023";"Aalten";"   27244";"     4.6";"     4.7";"     5.6";"     6.1";"     5.4";"    20.1";"    29.6";"    18.2";"     5.7";"     282";"";"";"";"";"";"   97.05";"   96.53";"    0.52";"    0.52";"    0.00"
"2019";"Ter Aar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2020";"Ter Aar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
