"Regio's";"Perioden";"Gemiddelde verkoopprijs (euro)"
"Aa en Hunze";"2021";"  393780"
"Aalburg";"2021";""
"Aalsmeer";"2021";"  538786"
"Aalten";"2021";"  306386"
"Ter Aar";"2021";""
"Aarle-Rixtel";"2021";""
"Abcoude";"2021";""
"Achtkarspelen";"2021";"  295024"
"Akersloot";"2021";""
"Alblasserdam";"2021";"  332755"
"Albrandswaard";"2021";"  452849"
"Alkemade";"2021";""
"Alkmaar";"2021";"  365446"
"Almelo";"2021";"  273244"
"Almere";"2021";"  390714"
"Alphen aan den Rijn";"2021";"  360031"
"Alphen en Riel";"2021";""
"Alphen-Chaam";"2021";"  466144"
"Altena";"2021";"  357769"
"Ambt Delden";"2021";""
"Ambt Montfort";"2021";""
"Ameland";"2021";"  345157"
"Amerongen";"2021";""
"Amersfoort";"2021";"  416892"
"Ammerzoden";"2021";""
"Amstelveen";"2021";"  625658"
"Amsterdam";"2021";"  569890"
"Andijk";"2021";""
"Angerlo";"2021";""
"Anloo";"2021";""
"Anna Paulowna";"2021";""
"Apeldoorn";"2021";"  379364"
"Appingedam";"2021";""
"Arcen en Velden";"2021";""
"Arnemuiden";"2021";""
"Arnhem";"2021";"  344738"
"Assen";"2021";"  301082"
"Asten";"2021";"  379682"
"Avereest";"2021";""
"Axel";"2021";""
"Baarle-Nassau";"2021";"  366251"
"Baarn";"2021";"  529145"
"Bakel en Milheeze";"2021";""
"Barendrecht";"2021";"  433258"
"Barneveld";"2021";"  451336"
"Bathmen";"2021";""
"Bedum";"2021";""
"Beek (L.)";"2021";"  297820"
"Beek en Donk";"2021";""
"Beekdaelen";"2021";"  313156"
"Beemster";"2021";"  502018"
"Beesel";"2021";"  290029"
"Beilen";"2021";""
"Belfeld";"2021";""
"Bellingwedde";"2021";""
"Bemmel";"2021";""
"Bennebroek";"2021";""
"Berg en Dal";"2021";"  377603"
"Bergambacht";"2021";""
"Bergeijk";"2021";"  402488"
"Bergen (L.)";"2021";"  301211"
"Bergen (NH.)";"2021";"  659453"
"Bergen op Zoom";"2021";"  307371"
"Bergeyk";"2021";""
"Bergh";"2021";""
"Bergschenhoek";"2021";""
"Berkel en Rodenrijs";"2021";""
"Berkel-Enschot";"2021";""
"Berkelland";"2021";"  339725"
"Berlicum";"2021";""
"Bernheze";"2021";"  425441"
"Bernisse";"2021";""
"Best";"2021";"  414438"
"Beuningen";"2021";"  378836"
"Beverwijk";"2021";"  335751"
"het Bildt";"2021";""
"De Bilt";"2021";"  634801"
"Binnenmaas";"2021";""
"Bladel";"2021";"  409300"
"Bladel en Netersel";"2021";""
"Blaricum";"2021";" 1067258"
"Bleiswijk";"2021";""
"Bloemendaal";"2021";" 1007936"
"Boarnsterhim";"2021";""
"Bodegraven";"2021";""
"Bodegraven-Reeuwijk";"2021";"  429306"
"Boekel";"2021";"  366401"
"Ten Boer";"2021";""
"Bolsward";"2021";""
"Borculo";"2021";""
"Borger";"2021";""
"Borger-Odoorn";"2021";"  305783"
"Born";"2021";""
"Borne";"2021";"  336553"
"Borsele";"2021";"  297555"
"Boskoop";"2021";""
"Boxmeer";"2021";"  376130"
"Boxtel";"2021";"  404430"
"Brakel";"2021";""
"Breda";"2021";"  427348"
"Brederwiede";"2021";""
"Breukelen";"2021";""
"Brielle";"2021";"  371768"
"Broekhuizen";"2021";""
"Bronckhorst";"2021";"  424632"
"Brouwershaven";"2021";""
"Bruinisse";"2021";""
"Brummen";"2021";"  377695"
"Brunssum";"2021";"  230838"
"Budel";"2021";""
"Bunnik";"2021";"  537433"
"Bunschoten";"2021";"  401056"
"Buren";"2021";"  429241"
"Bussum";"2021";""
"Capelle aan den IJssel";"2021";"  343101"
"Castricum";"2021";"  461120"
"Chaam";"2021";""
"Coevorden";"2021";"  312553"
"Cothen";"2021";""
"Cranendonck";"2021";"  344682"
"Cromstrijen";"2021";""
"Cuijk";"2021";"  326136"
"Culemborg";"2021";"  385595"
"Dalen";"2021";""
"Dalfsen";"2021";"  393372"
"Dantumadeel";"2021";""
"Dantumadiel";"2021";"  290598"
"Delft";"2021";"  395478"
"Delfzijl";"2021";""
"Denekamp";"2021";""
"Deurne";"2021";"  375140"
"Deventer";"2021";"  343585"
"Didam";"2021";""
"Diemen";"2021";"  465713"
"Diepenheim";"2021";""
"Diepenveen";"2021";""
"Diessen";"2021";""
"Diever";"2021";""
"Dijk en Waard";"2021";""
"Dinkelland";"2021";"  343759"
"Dinteloord en Prinsenland";"2021";""
"Dinxperlo";"2021";""
"Dirksland";"2021";""
"Dodewaard";"2021";""
"Doesburg";"2021";"  347257"
"Doetinchem";"2021";"  331854"
"Domburg";"2021";""
"Dongen";"2021";"  355002"
"Dongeradeel";"2021";""
"Doorn";"2021";""
