"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 3 categorieën/1 Laag onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/2 Middelbaar onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/3 Hoog onderwijsniveau (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Nederland";"13300700";"    26.5";"    41.8";"    31.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Aa en Hunze";"   19200";"    22.3";"    46.5";"    31.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Aalburg";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Aalsmeer";"   23900";"    28.6";"    42.7";"    28.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Aalten";"   20100";"    29.5";"    48.5";"    22.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Achtkarspelen";"   20700";"    33.9";"    50.0";"    16.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Alblasserdam";"   14300";"    31.0";"    47.0";"    21.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Albrandswaard";"   19400";"    23.9";"    43.5";"    32.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Alkmaar";"   84100";"    25.0";"    42.8";"    32.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Almelo";"   55200";"    32.7";"    45.2";"    22.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Almere";"  167900";"    26.7";"    44.3";"    29.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Alphen aan den Rijn";"   85100";"    26.2";"    44.6";"    29.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Alphen-Chaam";"    7800";"    21.8";"    45.2";"    33.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Altena";"   42100";"    32.9";"    45.6";"    21.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ameland";"    2800";"    25.0";"    52.7";"    22.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Amersfoort";"  119900";"    22.5";"    36.1";"    41.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Amstelveen";"   66900";"    20.0";"    33.3";"    46.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Amsterdam";"  710100";"    21.9";"    29.9";"    48.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Apeldoorn";"  124300";"    27.6";"    42.8";"    29.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Appingedam";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Arnhem";"  128400";"    26.1";"    37.8";"    36.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Assen";"   52000";"    24.6";"    47.1";"    28.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Asten";"   12900";"    28.1";"    46.1";"    25.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Baarle-Nassau";"    5100";"    30.2";"    48.1";"    21.7"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Baarn";"   17900";"    24.6";"    37.6";"    37.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Barendrecht";"   36300";"    24.6";"    43.4";"    32.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Barneveld";"   42800";"    30.4";"    46.2";"    23.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Bedum";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Beek (L.)";"   11900";"    26.1";"    43.9";"    30.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Beekdaelen";"   26900";"    24.9";"    44.6";"    30.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Beemster";"    7800";"    23.1";"    45.1";"    31.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Beesel";"   10200";"    31.9";"    46.0";"    22.1"
