"Geslacht";"Persoonskenmerken";"Regio's";"Perioden";"Personen (x 1 000)";"Personen met persoonlijk inkomen (x 1 000)";"Aandeel personen (%)";"Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Mediaan gestandaardiseerd inkomen (1 000 euro)";"Gemiddeld persoonlijk inkomen (1 000 euro)";"Mediaan persoonlijk inkomen (1 000 euro)"
"Totaal mannen en vrouwen";"Totaal personen";"Nederland";"2021";" 17098.8";" 13960.8";"     100";"    36.1";"    32.4";"    35.7";"    28.1"
"Totaal mannen en vrouwen";"Totaal personen";"Aa en Hunze";"2021";"    24.9";"    20.9";"     100";"    37.0";"    34.2";"    35.1";"    28.4"
"Totaal mannen en vrouwen";"Totaal personen";"Aalsmeer";"2021";"    31.5";"    25.5";"     100";"    42.8";"    36.6";"    40.2";"    30.8"
"Totaal mannen en vrouwen";"Totaal personen";"Aalten";"2021";"    26.6";"    22.0";"     100";"    34.0";"    31.6";"    30.7";"    26.0"
"Totaal mannen en vrouwen";"Totaal personen";"Achtkarspelen";"2021";"    27.6";"    21.9";"     100";"    31.2";"    29.3";"    29.0";"    24.3"
"Totaal mannen en vrouwen";"Totaal personen";"Alblasserdam";"2021";"    19.9";"    15.7";"     100";"    35.3";"    32.4";"    34.1";"    27.1"
"Totaal mannen en vrouwen";"Totaal personen";"Albrandswaard";"2021";"    25.1";"    19.8";"     100";"    41.5";"    38.2";"    43.2";"    34.5"
"Totaal mannen en vrouwen";"Totaal personen";"Alkmaar";"2021";"   108.5";"    89.7";"     100";"    35.1";"    32.6";"    35.0";"    29.1"
"Totaal mannen en vrouwen";"Totaal personen";"Almelo";"2021";"    71.5";"    58.6";"     100";"    31.4";"    28.9";"    29.8";"    24.3"
"Totaal mannen en vrouwen";"Totaal personen";"Almere";"2021";"   211.2";"   165.0";"     100";"    34.6";"    32.5";"    36.0";"    30.0"
"Totaal mannen en vrouwen";"Totaal personen";"Alphen aan den Rijn";"2021";"   110.7";"    90.2";"     100";"    37.4";"    34.4";"    36.9";"    30.5"
"Totaal mannen en vrouwen";"Totaal personen";"Alphen-Chaam";"2021";"    10.2";"     8.5";"     100";"    41.0";"    36.4";"    36.8";"    29.9"
"Totaal mannen en vrouwen";"Totaal personen";"Altena";"2021";"    55.5";"    44.2";"     100";"    37.4";"    33.9";"    34.9";"    28.0"
"Totaal mannen en vrouwen";"Totaal personen";"Ameland";"2021";"     3.7";"     3.1";"     100";"    35.8";"    30.8";"    31.5";"    25.8"
"Totaal mannen en vrouwen";"Totaal personen";"Amersfoort";"2021";"   154.9";"   123.7";"     100";"    38.2";"    34.9";"    39.6";"    32.0"
"Totaal mannen en vrouwen";"Totaal personen";"Amstelveen";"2021";"    88.8";"    68.4";"     100";"    43.6";"    36.1";"    48.4";"    33.0"
"Totaal mannen en vrouwen";"Totaal personen";"Amsterdam";"2021";"   866.2";"   710.4";"     100";"    38.0";"    30.0";"    42.0";"    29.4"
"Totaal mannen en vrouwen";"Totaal personen";"Apeldoorn";"2021";"   160.2";"   131.8";"     100";"    35.8";"    32.6";"    34.9";"    28.3"
"Totaal mannen en vrouwen";"Totaal personen";"Arnhem";"2021";"   157.3";"   128.4";"     100";"    32.3";"    29.4";"    33.7";"    26.7"
"Totaal mannen en vrouwen";"Totaal personen";"Assen";"2021";"    66.6";"    54.6";"     100";"    32.8";"    30.9";"    32.8";"    27.4"
"Totaal mannen en vrouwen";"Totaal personen";"Asten";"2021";"    16.6";"    13.9";"     100";"    36.7";"    33.7";"    33.0";"    26.8"
"Totaal mannen en vrouwen";"Totaal personen";"Baarle-Nassau";"2021";"     6.7";"     5.6";"     100";"    36.2";"    33.6";"    33.3";"    26.5"
"Totaal mannen en vrouwen";"Totaal personen";"Baarn";"2021";"    23.6";"    19.1";"     100";"    42.4";"    35.6";"    42.3";"    30.9"
"Totaal mannen en vrouwen";"Totaal personen";"Barendrecht";"2021";"    48.1";"    38.0";"     100";"    40.8";"    37.1";"    41.2";"    32.6"
"Totaal mannen en vrouwen";"Totaal personen";"Barneveld";"2021";"    59.0";"    45.1";"     100";"    37.4";"    33.4";"    34.7";"    28.0"
"Totaal mannen en vrouwen";"Totaal personen";"Beek (L.)";"2021";"    15.7";"    13.3";"     100";"    37.5";"    33.1";"    34.6";"    27.9"
"Totaal mannen en vrouwen";"Totaal personen";"Beekdaelen";"2021";"    35.3";"    29.8";"     100";"    35.9";"    33.2";"    34.8";"    28.0"
"Totaal mannen en vrouwen";"Totaal personen";"Beesel";"2021";"    13.3";"    11.2";"     100";"    33.2";"    31.2";"    30.8";"    25.5"
"Totaal mannen en vrouwen";"Totaal personen";"Berg en Dal";"2021";"    34.1";"    28.7";"     100";"    36.0";"    32.9";"    33.9";"    27.0"
