"Woningvoorraad; woningtype op 1 januari, regio"
""
"";""
"";"Onderwerp";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad"
"";"Woningtype";"Totaal woningen";"Meergezinswoningen totaal";"Eengezinswoningen totaal";"Vrijstaande woning";"2-onder-1-kapwoning";"Hoekwoning";"Tussenwoning";"Onbekend woningtype eengezinswoning"
"Regio's";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Nederland";"2021";"7966331";"2870532";"5095799";"1035389";"698022";"1012593";"2347198";"2597"
"Aa en Hunze";"2021";"11207";"945";"10262";"5566";"2621";"925";"1149";"1"
"Aalsmeer";"2021";"13284";"2895";"10389";"1962";"1111";"2339";"4972";"5"
"Aalten";"2021";"12028";"2135";"9893";"3075";"2313";"1914";"2587";"4"
"Achtkarspelen";"2021";"12181";"1482";"10699";"5232";"1871";"1559";"1971";"66"
"Alblasserdam";"2021";"8408";"2680";"5728";"499";"467";"1380";"3380";"2"
"Albrandswaard";"2021";"10573";"1976";"8597";"1062";"1109";"1926";"4497";"3"
"Alkmaar";"2021";"51656";"18893";"32763";"3270";"1887";"7254";"20208";"144"
"Almelo";"2021";"33827";"9717";"24110";"4014";"3749";"5644";"10693";"10"
"Almere";"2021";"87259";"24507";"62752";"5416";"2673";"11946";"42688";"29"
"Alphen aan den Rijn";"2021";"48893";"17061";"31832";"3791";"2690";"6866";"18480";"5"
"Alphen-Chaam";"2021";"4432";"496";"3936";"2044";"843";"457";"591";"1"
"Altena";"2021";"22587";"2618";"19969";"6575";"3755";"3853";"5770";"16"
"Ameland";"2021";"1753";"355";"1398";"848";"435";"55";"59";"1"
"Amersfoort";"2021";"68809";"25452";"43357";"2580";"4262";"9626";"26881";"8"
"Amstelveen";"2021";"42251";"21626";"20625";"1201";"838";"4715";"13831";"40"
"Amsterdam";"2021";"449989";"395609";"54380";"2497";"2395";"9413";"40039";"36"
"Apeldoorn";"2021";"74184";"21559";"52625";"12819";"7955";"9887";"21952";"12"
"Arnhem";"2021";"77839";"37747";"40092";"2187";"3589";"9398";"24898";"20"
"Assen";"2021";"32538";"9572";"22966";"3283";"4328";"4882";"10471";"2"
"Asten";"2021";"7069";"1024";"6045";"2001";"980";"1130";"1934";"0"
"Baarle-Nassau";"2021";"2916";"395";"2521";"1185";"384";"361";"591";"0"
"Baarn";"2021";"11700";"3928";"7772";"1162";"1718";"1745";"3132";"15"
"Barendrecht";"2021";"19433";"5032";"14401";"1049";"1292";"3388";"8671";"1"
"Barneveld";"2021";"23146";"5014";"18132";"4804";"2528";"3563";"7232";"5"
"Beek (L.)";"2021";"7496";"1810";"5686";"1341";"1697";"1028";"1619";"1"
"Beekdaelen";"2021";"16711";"2537";"14174";"4067";"4099";"2436";"3564";"8"
"Beemster";"2021";"4051";"424";"3627";"1467";"550";"594";"1013";"3"
"Beesel";"2021";"6040";"877";"5163";"1344";"1246";"908";"1664";"1"
"Berg en Dal";"2021";"15854";"3113";"12741";"3357";"2648";"2745";"3990";"1"
"Bergeijk";"2021";"8027";"1075";"6952";"3193";"1415";"989";"1355";"0"
"Bergen (L.)";"2021";"5793";"402";"5391";"2180";"1746";"613";"852";"0"
"Bergen (NH.)";"2021";"15353";"4424";"10929";"3939";"1484";"1881";"3617";"8"
"Bergen op Zoom";"2021";"30921";"9336";"21585";"3198";"1964";"4594";"11823";"6"
"Berkelland";"2021";"19594";"3664";"15930";"5824";"3537";"2789";"3780";"0"
"Bernheze";"2021";"12798";"1511";"11287";"4243";"2361";"1737";"2945";"1"
"Best";"2021";"12977";"2587";"10390";"1697";"1151";"2274";"5268";"0"
"Beuningen";"2021";"11262";"1724";"9538";"2170";"1578";"2099";"3690";"1"
"Beverwijk";"2021";"19511";"8728";"10783";"938";"1454";"2327";"6055";"9"
"De Bilt";"2021";"19738";"6960";"12778";"2544";"2557";"2534";"5140";"3"
"Bladel";"2021";"8841";"1415";"7426";"2616";"1906";"1146";"1753";"5"
