Gemeentenummer 2021;Gemeentenaam 2021;Gebruiksfunctie;Geen plat dak (m2);Wel plat dak (m2);Onbekend (m2);Dakoppervlak totaal (m2)
;Nederland totaal;;637980687;622452611;20393603;1280826902
;Nederland;onbekend;177592262;167021517;5700468;350314247
;;bijeenkomstfunctie;5830745;12751946;120312;18703004
;;celfunctie;3124;230038;133;233294
;;gezondheidszorgfunctie;846125;5743269;33096;6622490
;;industriefunctie;36055294;138368397;2599098;177022789
;;kantoorfunctie;5806253;46528178;1435780;53770212
;;ligplaats;2298;1513;275;4087
;;logiesfunctie;4620431;4588482;543013;9751926
;;onderwijsfunctie;1569063;16790886;109360;18469309
;;overige gebruiksfunctie;6431684;27360046;504577;34296307
;;sportfunctie;792295;9683289;75019;10550604
;;standplaats;19567;31141;2601;53309
;;winkelfunctie;6052639;38134398;307237;44494275
;;woonfunctie;392358906;155219511;8962633;556541051
14;Groningen (gemeente);onbekend;446178;695620;39877;1181674
;;bijeenkomstfunctie;58691;169748;3520;231959
;;celfunctie;0;23356;0;23356
;;gezondheidszorgfunctie;5428;99994;145;105568
;;industriefunctie;75442;1095107;5785;1176334
;;kantoorfunctie;61601;458097;12921;532619
;;ligplaats;446;353;275;1074
;;logiesfunctie;19053;22682;293;42028
;;onderwijsfunctie;23577;334072;7342;364991
;;overige gebruiksfunctie;50104;250970;10459;311532
;;sportfunctie;5411;154360;0;159771
;;winkelfunctie;81621;460069;7479;549169
;;woonfunctie;3220762;2531769;161576;5914107
34;Almere;onbekend;440831;623609;22826;1087267
;;bijeenkomstfunctie;5637;105417;2110;113164
;;gezondheidszorgfunctie;1381;51324;2703;55408
;;industriefunctie;195117;1241257;3653;1440026
;;kantoorfunctie;6972;320117;8641;335730
;;logiesfunctie;688;5649;0;6337
;;onderwijsfunctie;436;191996;1695;194127
;;overige gebruiksfunctie;67174;352045;1326;420545
;;sportfunctie;1516;98012;1401;100928
;;winkelfunctie;15838;296935;241;313014
;;woonfunctie;2529755;2332920;194086;5056762
37;Stadskanaal;onbekend;388271;218539;31520;638330
;;bijeenkomstfunctie;9124;20914;162;30200
;;gezondheidszorgfunctie;1376;17619;0;18995
;;industriefunctie;5544;165765;4881;176189
;;kantoorfunctie;2975;53259;7243;63477
;;logiesfunctie;837;14441;0;15278
;;onderwijsfunctie;9832;31344;0;41176
;;overige gebruiksfunctie;7351;25258;2071;34679
;;sportfunctie;2756;16005;138;18900
;;winkelfunctie;6575;106303;1125;114003
;;woonfunctie;1242774;307563;23986;1574322
47;Veendam;onbekend;195120;367752;25079;587951
;;bijeenkomstfunctie;9853;33930;71;43853
;;gezondheidszorgfunctie;1305;7536;0;8842
;;industriefunctie;35622;297760;39219;372600
;;kantoorfunctie;7607;46675;2682;56963
;;logiesfunctie;0;259;0;259
;;onderwijsfunctie;4560;29490;0;34050
;;overige gebruiksfunctie;4562;53550;197;58310
;;sportfunctie;746;16008;0;16755
;;winkelfunctie;9265;134364;77;143706
;;woonfunctie;925117;248579;15320;1189016
50;Zeewolde;onbekend;605037;299647;12011;916695
;;bijeenkomstfunctie;3537;11913;0;15450
;;gezondheidszorgfunctie;0;4819;0;4819
;;industriefunctie;35650;303123;2703;341476
;;kantoorfunctie;15128;185453;1932;202513
;;logiesfunctie;73515;63090;1456;138061
;;onderwijsfunctie;0;20493;0;20493
;;overige gebruiksfunctie;15354;49579;252;65185
;;sportfunctie;272;10455;0;10727
;;winkelfunctie;3041;77291;7053;87386
;;woonfunctie;452919;185515;24619;663054
59;Achtkarspelen;onbekend;424691;379745;14806;819242
;;bijeenkomstfunctie;13944;34373;314;48631
;;gezondheidszorgfunctie;2341;3649;439;6429
;;industriefunctie;41945;243043;20498;305486
;;kantoorfunctie;4447;36366;1181;41995
;;logiesfunctie;1945;184;0;2128
;;onderwijsfunctie;3627;23224;1094;27945
;;overige gebruiksfunctie;3113;11189;42;14344
;;sportfunctie;4436;24111;0;28548
;;winkelfunctie;19729;86991;2671;109392
;;woonfunctie;1025581;249824;13873;1289278
60;Ameland;onbekend;52949;40315;2000;95264
;;bijeenkomstfunctie;6070;14277;35;20382
;;gezondheidszorgfunctie;98;0;0;98
;;industriefunctie;14518;14914;0;29432
;;kantoorfunctie;2018;7406;0;9423
;;logiesfunctie;91576;67840;1961;161377
;;onderwijsfunctie;1133;2339;0;3472
;;overige gebruiksfunctie;10153;7488;49;17690
;;sportfunctie;295;2649;81;3025
;;winkelfunctie;12605;14303;828;27736
;;woonfunctie;185731;17242;4365;207338
72;Harlingen;onbekend;115140;116334;2326;233801
;;bijeenkomstfunctie;10093;6680;174;16947
;;gezondheidszorgfunctie;376;12000;0;12375
;;industriefunctie;13841;89618;3956;107415
;;kantoorfunctie;16754;184409;0;201163
;;logiesfunctie;348;864;0;1212
;;onderwijsfunctie;1632;19870;0;21502
;;overige gebruiksfunctie;4246;17632;86;21963
;;sportfunctie;471;9560;0;10031
;;winkelfunctie;9979;25067;0;35046
;;woonfunctie;474250;101517;15598;591365
74;Heerenveen;onbekend;490434;453444;9414;953292
;;bijeenkomstfunctie;12210;30101;226;42537
;;gezondheidszorgfunctie;2108;18897;0;21005
;;industriefunctie;39609;579428;24414;643451
;;kantoorfunctie;9068;168239;1440;178747
;;ligplaats;0;91;0;91
;;logiesfunctie;4241;11420;692;16353
;;onderwijsfunctie;2176;56942;893;60011
;;overige gebruiksfunctie;13072;106702;745;120520
;;sportfunctie;4888;41525;96;46508
;;winkelfunctie;18315;259075;276;277666
;;woonfunctie;1625945;628103;36223;2290272
80;Leeuwarden;onbekend;406449;637738;58864;1103050
;;bijeenkomstfunctie;47796;111541;526;159863
;;celfunctie;0;11913;0;11913
;;gezondheidszorgfunctie;2752;103392;0;106144
;;industriefunctie;59178;741724;12373;813275
;;kantoorfunctie;40202;367965;10479;418646
;;ligplaats;0;239;0;239
;;logiesfunctie;29521;13771;4836;48127
;;onderwijsfunctie;8373;173772;0;182145
;;overige gebruiksfunctie;27973;354630;4846;387449
;;sportfunctie;6196;64616;0;70812
;;winkelfunctie;44017;425256;4747;474021
;;woonfunctie;2838098;1366546;89909;4294553
85;Ooststellingwerf;onbekend;638119;484190;19250;1141559
;;bijeenkomstfunctie;8395;25620;0;34015
;;gezondheidszorgfunctie;1485;26021;393;27898
;;industriefunctie;21074;195140;13630;229844
;;kantoorfunctie;3250;47171;604;51025
;;logiesfunctie;30688;15619;2064;48371
;;onderwijsfunctie;6894;18810;513;26217
;;overige gebruiksfunctie;4869;27872;451;33191
;;sportfunctie;253;4977;0;5230
;;winkelfunctie;8770;69031;0;77801
;;woonfunctie;1198099;261342;9365;1468805
86;Opsterland;onbekend;612178;371058;10464;993700
;;bijeenkomstfunctie;9681;22472;1000;33154
;;gezondheidszorgfunctie;1961;11382;0;13342
;;industriefunctie;27574;266447;955;294976
;;kantoorfunctie;6402;30445;3312;40159
;;logiesfunctie;2855;2378;326;5559
;;onderwijsfunctie;0;38678;1441;40119
;;overige gebruiksfunctie;5445;6889;47;12382
;;sportfunctie;59;31538;1214;32812
;;standplaats;0;0;40;40
;;winkelfunctie;23138;70727;0;93865
;;woonfunctie;1326535;327948;7736;1662219
88;Schiermonnikoog;onbekend;9546;2628;224;12398
;;bijeenkomstfunctie;1850;1503;0;3353
;;industriefunctie;6160;12165;0;18325
;;kantoorfunctie;1163;749;0;1913
;;logiesfunctie;21219;29859;463;51541
;;onderwijsfunctie;646;1234;0;1880
;;overige gebruiksfunctie;2087;2574;22;4684
;;sportfunctie;20;854;0;873
;;winkelfunctie;1422;2375;0;3797
;;woonfunctie;42381;10338;217;52936
90;Smallingerland;onbekend;307754;331359;14504;653617
;;bijeenkomstfunctie;14400;43207;2668;60275
;;gezondheidszorgfunctie;3121;52056;461;55638
;;industriefunctie;35098;540066;24516;599680
;;kantoorfunctie;6293;119318;20754;146366
;;logiesfunctie;719;4055;67;4841
;;onderwijsfunctie;4127;87435;0;91561
;;overige gebruiksfunctie;9534;99156;624;109314
