"Regio's";"Woningtype";"Perioden";"Beginstand woningvoorraad (aantal)"
"Nederland";"Totaal woningen";"2021";" 7966331"
"Nederland";"Meergezinswoningen totaal";"2021";" 2870532"
"Nederland";"Eengezinswoningen totaal";"2021";" 5095799"
"Nederland";"Vrijstaande woning";"2021";" 1035389"
"Nederland";"2-onder-1-kapwoning";"2021";"  698022"
"Nederland";"Hoekwoning";"2021";" 1012593"
"Nederland";"Tussenwoning";"2021";" 2347198"
"Nederland";"Onbekend woningtype eengezinswoning";"2021";"    2597"
"Aa en Hunze";"Totaal woningen";"2021";"   11207"
"Aa en Hunze";"Meergezinswoningen totaal";"2021";"     945"
"Aa en Hunze";"Eengezinswoningen totaal";"2021";"   10262"
"Aa en Hunze";"Vrijstaande woning";"2021";"    5566"
"Aa en Hunze";"2-onder-1-kapwoning";"2021";"    2621"
"Aa en Hunze";"Hoekwoning";"2021";"     925"
"Aa en Hunze";"Tussenwoning";"2021";"    1149"
"Aa en Hunze";"Onbekend woningtype eengezinswoning";"2021";"       1"
"Aalsmeer";"Totaal woningen";"2021";"   13284"
"Aalsmeer";"Meergezinswoningen totaal";"2021";"    2895"
"Aalsmeer";"Eengezinswoningen totaal";"2021";"   10389"
"Aalsmeer";"Vrijstaande woning";"2021";"    1962"
"Aalsmeer";"2-onder-1-kapwoning";"2021";"    1111"
"Aalsmeer";"Hoekwoning";"2021";"    2339"
"Aalsmeer";"Tussenwoning";"2021";"    4972"
"Aalsmeer";"Onbekend woningtype eengezinswoning";"2021";"       5"
"Aalten";"Totaal woningen";"2021";"   12028"
"Aalten";"Meergezinswoningen totaal";"2021";"    2135"
"Aalten";"Eengezinswoningen totaal";"2021";"    9893"
"Aalten";"Vrijstaande woning";"2021";"    3075"
"Aalten";"2-onder-1-kapwoning";"2021";"    2313"
"Aalten";"Hoekwoning";"2021";"    1914"
"Aalten";"Tussenwoning";"2021";"    2587"
"Aalten";"Onbekend woningtype eengezinswoning";"2021";"       4"
"Achtkarspelen";"Totaal woningen";"2021";"   12181"
"Achtkarspelen";"Meergezinswoningen totaal";"2021";"    1482"
"Achtkarspelen";"Eengezinswoningen totaal";"2021";"   10699"
"Achtkarspelen";"Vrijstaande woning";"2021";"    5232"
"Achtkarspelen";"2-onder-1-kapwoning";"2021";"    1871"
"Achtkarspelen";"Hoekwoning";"2021";"    1559"
"Achtkarspelen";"Tussenwoning";"2021";"    1971"
"Achtkarspelen";"Onbekend woningtype eengezinswoning";"2021";"      66"
"Alblasserdam";"Totaal woningen";"2021";"    8408"
"Alblasserdam";"Meergezinswoningen totaal";"2021";"    2680"
"Alblasserdam";"Eengezinswoningen totaal";"2021";"    5728"
"Alblasserdam";"Vrijstaande woning";"2021";"     499"
"Alblasserdam";"2-onder-1-kapwoning";"2021";"     467"
"Alblasserdam";"Hoekwoning";"2021";"    1380"
"Alblasserdam";"Tussenwoning";"2021";"    3380"
"Alblasserdam";"Onbekend woningtype eengezinswoning";"2021";"       2"
"Albrandswaard";"Totaal woningen";"2021";"   10573"
"Albrandswaard";"Meergezinswoningen totaal";"2021";"    1976"
"Albrandswaard";"Eengezinswoningen totaal";"2021";"    8597"
"Albrandswaard";"Vrijstaande woning";"2021";"    1062"
"Albrandswaard";"2-onder-1-kapwoning";"2021";"    1109"
"Albrandswaard";"Hoekwoning";"2021";"    1926"
"Albrandswaard";"Tussenwoning";"2021";"    4497"
"Albrandswaard";"Onbekend woningtype eengezinswoning";"2021";"       3"
"Alkmaar";"Totaal woningen";"2021";"   51656"
"Alkmaar";"Meergezinswoningen totaal";"2021";"   18893"
"Alkmaar";"Eengezinswoningen totaal";"2021";"   32763"
"Alkmaar";"Vrijstaande woning";"2021";"    3270"
"Alkmaar";"2-onder-1-kapwoning";"2021";"    1887"
"Alkmaar";"Hoekwoning";"2021";"    7254"
