"Sector en vermogensklasse";"Regio's";"Perioden";"Installaties (aantal)";"Opgesteld vermogen van zonnepanelen (kWp)";"Opgesteld vermogen omvormers (kW)";"Productie van zonnestroom (mln kWh)"
"Woningen";"Nederland";"2019";"  960248";" 3236417";"";"    2620"
"Woningen";"Nederland";"2020";" 1267651";" 4488623";"";"    3714"
"Woningen";"Nederland";"2021 ";" 1611689";" 5843084";"";"    4652"
"Woningen";"Nederland";"2022";" 2131019";" 8014761";" 7619597";"    6760"
"Woningen";"Aa en Hunze";"2019";"    2573";"   10050";"";"       ."
"Woningen";"Aa en Hunze";"2020";"    3279";"   13511";"";"       ."
"Woningen";"Aa en Hunze";"2021 ";"    3900";"   16488";"";"       ."
"Woningen";"Aa en Hunze";"2022";"    4767";"   21032";"   20311";"       ."
"Woningen";"Aalsmeer";"2019";"    1622";"    5701";"";"       ."
"Woningen";"Aalsmeer";"2020";"    2311";"    8588";"";"       ."
"Woningen";"Aalsmeer";"2021 ";"    2849";"   10676";"";"       ."
"Woningen";"Aalsmeer";"2022";"    3881";"   15052";"   14236";"       ."
"Woningen";"Aalten";"2019";"    1973";"    7576";"";"       ."
"Woningen";"Aalten";"2020";"    2445";"    9998";"";"       ."
"Woningen";"Aalten";"2021 ";"    3040";"   13035";"";"       ."
"Woningen";"Aalten";"2022";"    3785";"   17011";"   16382";"       ."
"Woningen";"Achtkarspelen";"2019";"    1717";"    7508";"";"       ."
"Woningen";"Achtkarspelen";"2020";"    2300";"   10281";"";"       ."
"Woningen";"Achtkarspelen";"2021 ";"    2897";"   11557";"";"       ."
"Woningen";"Achtkarspelen";"2022";"    3751";"   15731";"   15057";"       ."
"Woningen";"Alblasserdam";"2019";"     604";"    1913";"";"       ."
"Woningen";"Alblasserdam";"2020";"     790";"    2642";"";"       ."
"Woningen";"Alblasserdam";"2021 ";"    1109";"    3974";"";"       ."
"Woningen";"Alblasserdam";"2022";"    1796";"    6560";"    6068";"       ."
"Woningen";"Albrandswaard";"2019";"     874";"    2894";"";"       ."
"Woningen";"Albrandswaard";"2020";"    1333";"    4659";"";"       ."
"Woningen";"Albrandswaard";"2021 ";"    2037";"    7291";"";"       ."
"Woningen";"Albrandswaard";"2022";"    3337";"   12382";"   11490";"       ."
"Woningen";"Alkmaar";"2019";"    6280";"   18416";"";"       ."
"Woningen";"Alkmaar";"2020";"    8542";"   25743";"";"       ."
"Woningen";"Alkmaar";"2021 ";"   10957";"   33649";"";"       ."
"Woningen";"Alkmaar";"2022";"   13876";"   43205";"   41444";"       ."
"Woningen";"Almelo";"2019";"    3093";"   11007";"";"       ."
"Woningen";"Almelo";"2020";"    4083";"   15480";"";"       ."
"Woningen";"Almelo";"2021 ";"    5475";"   21607";"";"       ."
"Woningen";"Almelo";"2022";"    8045";"   33134";"   31361";"       ."
"Woningen";"Almere";"2019";"   11471";"   36920";"";"       ."
"Woningen";"Almere";"2020";"   14466";"   49892";"";"       ."
"Woningen";"Almere";"2021 ";"   17982";"   64072";"";"       ."
"Woningen";"Almere";"2022";"   24175";"   89000";"   84380";"       ."
"Woningen";"Alphen aan den Rijn";"2019";"    6495";"   20781";"";"       ."
"Woningen";"Alphen aan den Rijn";"2020";"    9545";"   32774";"";"       ."
"Woningen";"Alphen aan den Rijn";"2021 ";"   11959";"   42449";"";"       ."
"Woningen";"Alphen aan den Rijn";"2022";"   15206";"   55849";"   52605";"       ."
"Woningen";"Alphen-Chaam";"2019";"     488";"    2362";"";"       ."
"Woningen";"Alphen-Chaam";"2020";"     748";"    3685";"";"       ."
"Woningen";"Alphen-Chaam";"2021 ";"     989";"    4992";"";"       ."
"Woningen";"Alphen-Chaam";"2022";"    1289";"    6752";"    6369";"       ."
"Woningen";"Altena";"2019";"    2930";"   10469";"";"       ."
"Woningen";"Altena";"2020";"    4126";"   15619";"";"       ."
"Woningen";"Altena";"2021 ";"    5325";"   21431";"";"       ."
"Woningen";"Altena";"2022";"    6962";"   30425";"   28408";"       ."
"Woningen";"Ameland";"2019";"     208";"     822";"";"       ."
"Woningen";"Ameland";"2020";"     273";"    1116";"";"       ."
"Woningen";"Ameland";"2021 ";"     342";"    1366";"";"       ."
"Woningen";"Ameland";"2022";"     513";"    2208";"    2111";"       ."
"Woningen";"Amersfoort";"2019";"   10672";"   29360";"";"       ."
"Woningen";"Amersfoort";"2020";"   13942";"   40219";"";"       ."
"Woningen";"Amersfoort";"2021 ";"   17469";"   51865";"";"       ."
"Woningen";"Amersfoort";"2022";"   22465";"   70023";"   66416";"       ."
"Woningen";"Amstelveen";"2019";"    3235";"   10225";"";"       ."
"Woningen";"Amstelveen";"2020";"    4468";"   14597";"";"       ."
"Woningen";"Amstelveen";"2021 ";"    5438";"   17973";"";"       ."
"Woningen";"Amstelveen";"2022";"    7042";"   24531";"   23063";"       ."
"Woningen";"Amsterdam";"2019";"   13115";"   38027";"";"       ."
"Woningen";"Amsterdam";"2020";"   17454";"   52065";"";"       ."
"Woningen";"Amsterdam";"2021 ";"   22716";"   64769";"";"       ."
"Woningen";"Amsterdam";"2022";"   30657";"   88849";"   84577";"       ."
"Woningen";"Apeldoorn";"2019";"   11058";"   32739";"";"       ."
"Woningen";"Apeldoorn";"2020";"   14605";"   46367";"";"       ."
"Woningen";"Apeldoorn";"2021 ";"   17738";"   58655";"";"       ."
"Woningen";"Apeldoorn";"2022";"   23410";"   79722";"   75906";"       ."
"Woningen";"Appingedam";"2019";"    1243";"    4329";"";"       ."
"Woningen";"Appingedam";"2020";"    1522";"    5387";"";"       ."
"Woningen";"Appingedam";"2021 ";"";"";"";""
"Woningen";"Appingedam";"2022";"";"";"";""
"Woningen";"Arnhem";"2019";"    6384";"   20182";"";"       ."
"Woningen";"Arnhem";"2020";"    8294";"   27294";"";"       ."
"Woningen";"Arnhem";"2021 ";"   10353";"   35211";"";"       ."
"Woningen";"Arnhem";"2022";"   13819";"   47853";"   45724";"       ."
"Woningen";"Assen";"2019";"    6297";"   19974";"";"       ."
"Woningen";"Assen";"2020";"    8319";"   26509";"";"       ."
"Woningen";"Assen";"2021 ";"    9746";"   32054";"";"       ."
"Woningen";"Assen";"2022";"   11472";"   42105";"   40092";"       ."
"Woningen";"Asten";"2019";"     974";"    4482";"";"       ."
"Woningen";"Asten";"2020";"    1418";"    6608";"";"       ."
"Woningen";"Asten";"2021 ";"    1958";"    9205";"";"       ."
"Woningen";"Asten";"2022";"    2542";"   12337";"   11820";"       ."
"Woningen";"Baarle-Nassau";"2019";"     263";"    1060";"";"       ."
"Woningen";"Baarle-Nassau";"2020";"     414";"    1855";"";"       ."
"Woningen";"Baarle-Nassau";"2021 ";"     559";"    2654";"";"       ."
"Woningen";"Baarle-Nassau";"2022";"     726";"    3636";"    3402";"       ."
"Woningen";"Baarn";"2019";"    1512";"    3772";"";"       ."
"Woningen";"Baarn";"2020";"    1763";"    4766";"";"       ."
"Woningen";"Baarn";"2021 ";"    2154";"    6313";"";"       ."
"Woningen";"Baarn";"2022";"    2817";"    8861";"    8361";"       ."
"Woningen";"Barendrecht";"2019";"    1890";"    6016";"";"       ."
"Woningen";"Barendrecht";"2020";"    2833";"    9579";"";"       ."
"Woningen";"Barendrecht";"2021 ";"    4314";"   15023";"";"       ."
"Woningen";"Barendrecht";"2022";"    6451";"   23039";"   21007";"       ."
"Woningen";"Barneveld";"2019";"    3318";"   12350";"";"       ."
"Woningen";"Barneveld";"2020";"    4480";"   17478";"";"       ."
"Woningen";"Barneveld";"2021 ";"    5539";"   21824";"";"       ."
"Woningen";"Barneveld";"2022";"    7771";"   32050";"   30321";"       ."
"Woningen";"Beek (L.)";"2019";"    1737";"    5813";"";"       ."
"Woningen";"Beek (L.)";"2020";"    2038";"    7276";"";"       ."
"Woningen";"Beek (L.)";"2021 ";"    2388";"    9062";"";"       ."
"Woningen";"Beek (L.)";"2022";"    2868";"   11485";"   11034";"       ."
"Woningen";"Beekdaelen";"2019";"    3453";"   13993";"";"       ."
"Woningen";"Beekdaelen";"2020";"    4273";"   17856";"";"       ."
