"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"Onderwerp"
"";"";"Installaties";"Opgesteld vermogen van zonnepanelen";"Opgesteld vermogen omvormers";"Productie van zonnestroom"
"Perioden";"Regio's";"aantal";"kWp";"kW";"mln kWh"
"2019";"Nederland";"1062265";"7225864";"";"5399"
"2019";"Aa en Hunze";"2922";"20968";"";"."
"2019";"Aalsmeer";"1800";"11686";"";"."
"2019";"Aalten";"2259";"16346";"";"."
"2019";"Achtkarspelen";"1953";"25697";"";"."
"2019";"Alblasserdam";"670";"3422";"";"."
"2019";"Albrandswaard";"1091";"8965";"";"."
"2019";"Alkmaar";"6751";"33951";"";"."
"2019";"Almelo";"3375";"60836";"";"."
"2019";"Almere";"12116";"86134";"";"."
"2019";"Alphen aan den Rijn";"7049";"36611";"";"."
"2019";"Alphen-Chaam";"606";"5644";"";"."
"2019";"Altena";"3422";"22744";"";"."
"2019";"Ameland";"301";"7661";"";"."
"2019";"Amersfoort";"11232";"39176";"";"."
"2019";"Amstelveen";"3409";"15892";"";"."
"2019";"Amsterdam";"14872";"89583";"";"."
"2019";"Apeldoorn";"11813";"55472";"";"."
"2019";"Appingedam";"1330";"4873";"";"."
"2019";"Arnhem";"6831";"33541";"";"."
"2019";"Assen";"6834";"35306";"";"."
"2019";"Asten";"1133";"18702";"";"."
"2019";"Baarle-Nassau";"367";"5875";"";"."
"2019";"Baarn";"1603";"6493";"";"."
"2019";"Barendrecht";"2025";"13011";"";"."
"2019";"Barneveld";"3976";"42271";"";"."
"2019";"Beek (L.)";"1870";"8303";"";"."
"2019";"Beekdaelen";"3746";"19031";"";"."
"2019";"Beemster";"778";"4245";"";"."
"2019";"Beesel";"1226";"6444";"";"."
"2019";"Berg en Dal";"2466";"12203";"";"."
"2019";"Bergeijk";"1447";"15222";"";"."
"2019";"Bergen (L.)";"943";"7142";"";"."
"2019";"Bergen (NH.)";"3231";"13362";"";"."
"2019";"Bergen op Zoom";"5001";"17019";"";"."
"2019";"Berkelland";"3676";"23547";"";"."
"2019";"Bernheze";"2189";"19388";"";"."
"2019";"Best";"2639";"21491";"";"."
"2019";"Beuningen";"1752";"9342";"";"."
"2019";"Beverwijk";"2221";"8639";"";"."
"2019";"De Bilt";"1774";"8234";"";"."
"2019";"Bladel";"1427";"14162";"";"."
"2019";"Blaricum";"473";"1928";"";"."
"2019";"Bloemendaal";"873";"3367";"";"."
"2019";"Bodegraven-Reeuwijk";"2447";"15390";"";"."
"2019";"Boekel";"853";"13601";"";"."
"2019";"Borger-Odoorn";"2936";"19834";"";"."
"2019";"Borne";"1739";"8584";"";"."
"2019";"Borsele";"3060";"82631";"";"."
"2019";"Boxmeer";"2345";"21539";"";"."
"2019";"Boxtel";"2401";"12893";"";"."
"2019";"Breda";"6439";"42212";"";"."
"2019";"Brielle";"997";"4866";"";"."
"2019";"Bronckhorst";"3177";"23039";"";"."
"2019";"Brummen";"1500";"7476";"";"."
"2019";"Brunssum";"2069";"8385";"";"."
"2019";"Bunnik";"1301";"6950";"";"."
"2019";"Bunschoten";"1174";"9175";"";"."
"2019";"Buren";"1904";"15542";"";"."
